oui,fabricante,direccion
28:6F:B9,"Nokia Shanghai Bell Co., Ltd.","No.388 Ning Qiao Road,Jin Qiao Pudong Shanghai Shanghai   CN 201206 "
08:EA:44,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
F4:EA:B5,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
B8:7C:F2,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
E0:A1:29,Extreme Networks Headquarters,2121 RDU Center Drive Morrisville NC US 27560 
A8:C6:47,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
A4:73:AB,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
0C:9B:78,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
A4:C7:F6,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
B4:2D:56,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
88:7E:25,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
00:19:77,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
38:E2:CA,Katun Corporation,7760 France Ave S Suite 340 Bloomington MN US 55438 
B0:5B:99,Sagemcom Broadband SAS,"250, route de l'Empereur Rueil Malmaison Cedex hauts de seine FR 92848 "
E8:0A:B9,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
78:46:5F,"Fiberhome Telecommunication Technologies Co.,LTD",No.5 DongXin Road Wuhan Hubei CN 430074 
90:75:DE,Zebra Technologies Inc.,ONE ZEBRA PLAZA HOLTSVILLE NY US 11742 
80:BA:16,Micas Networks Inc.," 250 Tasman Drive, Ste 170, San Jose, CA 95134 San Jose CA US 95134 "
10:E9:92,INGRAM MICRO SERVICES,100 CHEMIN DE BAILLOT MONTAUBAN  FR 82000 
78:F2:76,Cyklop Fastjet Technologies (Shanghai) Inc.,"No 18?Lane 699, Zhang Wengmiao Rd,  Fengxian district, Shanghai China Shanghai  CN 201401 "
20:F8:3B,"Nabu Casa, Inc.","8 The Green, Suite 12630 Dover DE US 19901 "
F0:1B:24,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen  guangdong CN 518057 "
B8:4C:87,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
E4:F1:4C,Private,
10:06:1C,Espressif Inc.,"Room 204, Building 2, 690 Bibo Rd, Pudong New Area Shanghai Shanghai CN 201203 "
E0:06:30,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
04:D1:68,"Sunplus Technology Co., Ltd.","19, Innovation First Road, Hsinchu Science Park Hsinchu  TW 300 "
64:4C:69,CONPROVE,"75, Visconde de Ouro Preto St. Uberlândia Minas Gerais BR 38405-202 "
DC:D1:60,"Tianjin Changdatong Technology Co.,LTD","Unit 601, 602, Building 1, Zhongxing Industrial Base, No. 2 East 7th Road, Tianjin Pilot Free Trade Zone (Airport Economic Zone) Tianjin  CN 300308 "
64:4E:D7,HP Inc.,10300 Energy Dr Spring TX US 77389 
9C:E3:30,Cisco Meraki,500 Terry A. Francois Blvd San Francisco  US 94158 
04:A9:59,"New H3C Technologies Co., Ltd","466 Changhe Road, Binjiang District Hangzhou Zhejiang CN 310052 "
0C:B9:83,"Honor Device Co., Ltd.","Suite 3401, Unit A, Building 6, Shum Yip Sky Park, No. 8089, Hongli West Road, Xiangmihu Street, Futian District  Shenzhen  Guangdong CN 518040 "
2C:B3:01,"Honor Device Co., Ltd.","Suite 3401, Unit A, Building 6, Shum Yip Sky Park, No. 8089, Hongli West Road, Xiangmihu Street, Futian District  Shenzhen  Guangdong CN 518040 "
E0:C2:B7,Masimo Corporation,52 Discovery Irvine CA US 92618 
C8:8B:E8,Masimo Corporation,52 Discovery Irvine CA US 92618 
E4:C7:67,Intel Corporate,"Lot 8, Jalan Hi-Tech 2/3   Kulim Kedah MY 09000 "
90:2D:77,Edgecore Americas Networking Corporation,20 Mason Irvine CA US 92618 
6C:FB:ED,GN Audio A/S,Lautrupbjerg 7 Ballerup  DK DK-2750 
E4:F2:7C,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
90:6C:4B,Advance Security Electronics,8228 NW South River Dr Medley FL US 33166 
D4:8A:FC,Espressif Inc.,"Room 204, Building 2, 690 Bibo Rd, Pudong New Area Shanghai Shanghai CN 201203 "
E4:65:B8,Espressif Inc.,"Room 204, Building 2, 690 Bibo Rd, Pudong New Area Shanghai Shanghai CN 201203 "
E0:01:C7,"Hui Zhou Gaoshengda Technology Co.,LTD","No.2,Jin-da Road,Huinan Industrial Park Hui Zhou Guangdong CN 516025 "
B4:DF:91,Cisco Meraki,500 Terry A. Francois Blvd San Francisco  US 94158 
98:EE:8C,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen  guangdong CN 518057 "
FC:50:0C,Sitehop Ltd,"The Workstation, 15 Paternoster Row Sheffield South Yorkshire GB S1 2BX "
50:E4:78,"Sichuan AI-Link Technology Co., Ltd.","Anzhou, Industrial Park Mianyang Sichuan CN 622650 "
90:C7:10,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen  guangdong CN 518057 "
48:D4:75,Lampuga GmbH,Werkstr. 11 Rastatt  DE 76437 
60:1A:C7,"Nintendo Co.,Ltd","11-1 HOKOTATE-CHO KAMITOBA,MINAMI-KU KYOTO KYOTO JP 601-8501 "
48:DA:35,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
A8:81:FE,"Luxul Tech Co., Ltd","9/F, Yihua Commercial Building, No. 16, Jiuyi Road, Licheng District, Quanzhou, Fujian  Quanzhou Fujian CN 362000 "
